# id r g b
1067 128 218 118
871 118 218 163
1256 184 17 61
381 197 61 176
1132 206 135 171
1137 206 184 135
806 180 51 132
658 255 0 223
212 218 147 118
454 139 23 229
1197 37 108 188
718 83 219 32
959 211 40 4
605 184 17 101
53 56 32 219
869 121 218 118
40 241 247 47
339 199 204 41
882 196 104 237
711 219 41 32
259 240 77 133
148 38 178 221
618 17 184 120
319 4 211 123
623 17 47 184
389 187 197 61
1136 206 167 135
1113 229 172 23
1167 177 208 9
736 248 127 137
1209 206 142 135
1128 173 135 206
796 38 221 176
884 237 104 214
186 239 175 102
1278 82 24 131
329 143 41 204
1165 208 143 9
377 87 61 197
366 214 240 77
561 206 176 135
1140 176 206 135
1006 201 77 240
757 248 127 243
49 47 209 247
65 218 219 32
578 134 137 237
771 127 248 176
994 41 204 78
1044 61 197 98
781 221 38 192
478 173 135 206
1047 61 197 196
78 127 127 248
152 104 51 180
749 127 243 248
917 146 240 77
46 47 247 141
411 218 164 118
191 139 239 102
192 106 239 102
548 37 71 188
363 240 149 77
1100 23 105 229
1159 208 9 161
276 38 88 200
115 248 244 127
500 9 193 208
1156 112 9 208
1032 197 61 144
524 9 208 175
606 184 17 61
1125 135 148 206
1268 17 184 120
972 4 150 211
1019 97 240 77
1179 188 37 156
269 77 240 86
1021 77 240 136
511 208 9 66
889 237 154 104
111 248 127 127
847 102 216 239
1184 188 99 37
1208 206 135 145
988 204 170 41
424 118 160 218
787 221 147 38
580 181 134 237
214 218 195 118
321 4 200 211
689 247 205 47
521 9 208 32
789 207 221 38
1191 37 188 51
897 104 237 143
1297 24 120 131
630 131 24 129
402 148 118 218
1292 34 131 24
74 32 188 219
206 203 118 218
1279 108 24 131
829 219 102 239
657 225 0 255
1173 9 208 127
783 221 38 105
430 196 26 105
332 204 41 147
707 219 32 203
1174 9 208 175
559 206 142 135
437 159 196 26
369 97 240 77
1087 159 196 26
494 135 206 162
1285 131 48 24
878 104 139 237
686 247 61 47
531 188 37 84
1269 17 184 161
861 218 123 118
1295 24 131 91
358 240 77 201
969 4 211 123
1205 206 135 196
105 195 127 248
1144 135 206 162
775 38 90 221
955 211 4 167
525 75 37 188
244 161 237 104
88 248 176 127
1078 196 26 187
576 134 186 237
1082 196 29 26
282 200 38 179
648 24 94 131
161 180 125 51
1178 184 37 188
196 102 239 229
615 34 184 17
579 156 134 237
84 248 127 195
1239 237 197 134
225 104 235 237
248 104 237 175
477 156 135 206
853 131 118 218
1189 96 188 37
898 104 237 175
987 204 130 41
43 97 247 47
1068 118 218 132
414 200 218 118
992 82 204 41
1252 147 17 184
901 77 120 240
971 4 200 211
807 180 51 101
349 41 134 204
346 41 204 157
778 118 38 221
1219 135 206 171
296 38 200 117
433 196 69 26
1022 77 240 175
177 153 102 239
961 211 139 4
445 26 173 196
1221 135 206 205
257 240 77 211
520 34 208 9
1185 188 135 37
851 118 153 218
993 43 204 41
1246 134 237 164
310 211 90 4
382 197 61 144
682 247 47 225
1264 74 184 17
737 248 146 127
1194 37 188 160
167 51 180 52
833 239 102 128
764 248 215 127
60 219 32 68
877 104 171 237
72 32 219 160
1188 132 188 37
1017 175 240 77
664 255 144 0
487 206 184 135
922 77 240 204
732 243 127 248
931 182 38 200
497 135 199 206
376 61 67 197
802 104 51 180
169 51 180 114
569 135 206 171
1056 218 118 192
